활동 종류,날짜,즐겨찾기,제목,거리,칼로리,시간,평균 심박,최대심박,유산소 훈련 효과,평균 수영 케이던스,최고 수영 케이던스,평균 페이스,최대 페이스,총 상승,총 하강,평균 보폭,평균 수직 비율,평균 수직 진동,평균 지면 접촉 시간,평균 GAP,평균 수영 케이던스,최고 수영 케이던스,Normalized Power® (NP®),Training Stress Score®,최대 평균파워(20분),평균 파워,최대 파워,총 스트로크,평균 Swolf,평균 스트로크 속도,걸음,총 반복 횟수,총 세트,바디 배터리 방전,최저 온도,감압,최고 랩 기록,랩 수,최고 온도,평균 응답,최소 응답,최대 응답,평균 스트레스,최대 스트레스,이동 시간,경과 시간,최저 해발,최고 해발
러닝,2026-03-01 06:35:59,false,"러닝","20.09","1,348","01:42:20","161","195","4.5","191","203","5:06","4:18","44","23","1.02","7.4","7.6","231","5:05","--","--","314","0.0","--","312","384","--","--","--","19,536","--","--","-30","--","아니오","00:00:27.3","21","--","--","--","--","--","--","01:42:10","01:57:49","41","62"
스텝퍼,2026-02-28 11:29:47,false,"스텝퍼","0.00","165","00:35:55","98","109","0.4","137","152","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,940","--","--","-1","--","아니오","00:35:55","1","--","--","--","--","--","--","00:00:00","00:35:55","--","--"
실내 자전거타기,2026-02-28 09:36:26,false,"실내 자전거타기","12.60","445","00:38:50","--","--","1.6","--","--","19.5","33.5","--","--","--","--","--","--","--","82","97","180","35.7","179","168","308","3045","--","--","--","--","--","--","20.0","아니오","00:38:50","1","22.0","--","--","--","--","--","00:37:07","00:38:50","--","--"
실내 자전거타기,2026-02-27 08:32:31,false,"실내 자전거타기","9.27","347","00:24:43","--","--","1.0","--","--","22.5","30.2","--","--","--","--","--","--","--","84","106","216","32.5","217","211","335","2068","--","--","--","--","--","--","20.0","아니오","00:24:43","1","22.0","--","--","--","--","--","00:24:42","00:24:43","--","--"
트레드밀 러닝,2026-02-26 18:05:44,false,"트레드밀 러닝","9.94","417","00:59:10","124","147","2.1","169","180","5:57","5:11","--","--","1.00","8.8","8.8","266","--","--","--","272","0.0","--","270","322","--","--","--","10,004","--","--","-5","--","아니오","00:00:04.1","11","--","--","--","--","--","--","00:58:42","00:59:25","--","--"
스텝퍼,2026-02-26 12:31:19,false,"스텝퍼","0.00","255","00:41:23","113","141","0.8","101","236","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,476","--","--","-2","--","아니오","00:41:23","1","--","--","--","--","--","--","00:00:00","00:41:23","--","--"
스텝퍼,2026-02-25 18:05:06,false,"스텝퍼","0.00","274","00:43:18","115","150","1.1","80","125","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,560","--","--","-4","--","아니오","00:43:18","1","--","--","--","--","--","--","00:00:00","00:43:18","--","--"
스텝퍼,2026-02-25 12:18:07,false,"스텝퍼","0.00","278","00:50:13","109","133","0.8","108","141","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,526","--","--","-4","--","아니오","00:50:13","1","--","--","--","--","--","--","00:00:00","00:50:13","--","--"
스텝퍼,2026-02-24 06:58:45,false,"스텝퍼","0.00","459","01:20:21","112","151","1.4","97","236","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8,370","--","--","-3","--","아니오","01:20:21","1","--","--","--","--","--","--","00:00:00","01:20:22","--","--"
근력 훈련,2026-02-23 18:04:10,false,"근력 훈련","0.00","141","00:34:13","93","123","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","24","12","1","-1","--","아니오","00:34:13","1","--","--","--","--","--","--","00:34:13","00:34:13","--","--"
러닝,2026-02-22 09:30:32,false,"러닝","42.00","3,076","03:38:58","174","201","5.0","188","205","5:13","3:31","96","93","1.01","7.6","7.7","236","5:13","--","--","313","0.0","--","307","483","--","--","--","41,206","--","--","-47","--","아니오","00:00:00.9","43","--","--","--","--","--","--","03:38:43","03:38:58","4","18"
러닝,2026-02-22 09:09:19,false,"러닝","1.01","59","00:04:19.2","160","182","2.0","186","214","4:17","3:07","6","--","1.20","6.7","7.8","208","4:13","--","--","392","0.0","--","367","517","--","--","--","830","--","--","-2","--","아니오","00:00:02.8","2","--","--","--","--","--","--","00:04:13","00:04:20.8","6","13"
스텝퍼,2026-02-20 05:06:57,false,"스텝퍼","0.00","246","01:00:57","91","105","0.3","126","167","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8,032","--","--","-2","--","아니오","01:00:57","1","--","--","--","--","--","--","00:00:00","01:00:57","--","--"
스텝퍼,2026-02-19 19:59:34,false,"스텝퍼","0.00","61","00:15:16","87","96","0.1","127","231","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","2,030","--","--","-1","--","아니오","00:15:16","1","--","--","--","--","--","--","00:00:00","00:18:07","--","--"
러닝,2026-02-18 07:28:36,false,"러닝","8.01","521","00:39:24","152","168","3.4","188","203","4:55","4:06","36","21","1.06","7.4","7.8","230","4:57","--","--","329","0.0","--","324","485","--","--","--","7,436","--","--","-10","--","아니오","00:00:03.3","9","--","--","--","--","--","--","00:39:18","00:42:46","28","48"
러닝,2026-02-15 06:44:23,false,"러닝","28.33","1,990","02:25:32","164","196","5.0","188","215","5:08","3:23","141","113","1.03","7.6","7.8","235","5:07","--","--","316","0.0","--","312","487","--","--","--","27,362","--","--","-20","--","아니오","00:01:27.5","29","--","--","--","--","--","--","02:25:12","02:41:30","28","49"
실내 자전거타기,2026-02-14 08:19:26,false,"실내 자전거타기","21.23","642","00:54:47","126","155","2.6","--","--","23.3","33.5","--","--","--","--","--","--","--","85","110","175","47.6","181","172","293","4693","--","--","--","--","--","--","20.0","아니오","00:54:47","1","22.0","30","20","41","--","--","00:54:45","00:57:03","--","--"
실내 자전거타기,2026-02-13 17:07:18,false,"실내 자전거타기","7.46","224","00:17:57","128","143","2.2","--","--","25.0","33.3","--","--","--","--","--","--","--","84","93","188","18.6","--","185","278","1506","--","--","--","--","--","--","19.0","아니오","00:17:57","1","21.0","29","19","37","--","--","00:17:57","00:17:57","--","--"
트레드밀 러닝,2026-02-13 12:02:44,false,"트레드밀 러닝","7.53","388","00:39:20","132","150","2.2","178","190","5:13","3:52","--","--","1.07","8.0","8.5","245","--","--","--","302","0.0","--","300","422","--","--","--","6,990","--","--","-3","--","아니오","00:02:46.7","8","--","--","--","--","--","--","00:39:18","00:39:20","--","--"
트레드밀 러닝,2026-02-12 12:03:36,false,"트레드밀 러닝","7.06","401","00:34:26","145","180","2.9","182","200","4:53","3:28","--","--","1.13","7.5","8.4","235","--","--","--","325","0.0","--","319","456","--","--","--","6,250","--","--","-5","--","아니오","00:00:13.9","8","--","--","--","--","--","--","00:34:08","00:35:15","--","--"
스텝퍼,2026-02-11 19:04:11,false,"스텝퍼","0.00","280","00:46:41","108","133","0.9","110","140","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,238","--","--","-2","--","아니오","00:46:41","1","--","--","--","--","--","--","00:00:00","00:46:41","--","--"
트레드밀 러닝,2026-02-11 12:01:38,false,"트레드밀 러닝","7.52","391","00:38:38","134","153","2.3","180","192","5:08","4:23","--","--","1.08","7.8","8.4","242","--","--","--","306","0.0","--","304","374","--","--","--","6,944","--","--","-5","--","아니오","00:02:38.9","8","--","--","--","--","--","--","00:38:26","00:39:02","--","--"
트레드밀 러닝,2026-02-10 12:04:56,false,"트레드밀 러닝","7.52","435","00:38:20","142","155","2.7","180","191","5:06","4:29","--","--","1.09","7.8","8.5","241","--","--","--","308","0.0","--","307","359","--","--","--","6,890","--","--","-7","--","아니오","00:02:45.7","8","--","--","--","--","--","--","00:38:10","00:38:22","--","--"
스텝퍼,2026-02-09 18:14:00,false,"스텝퍼","0.00","484","00:45:04","140","161","2.7","112","143","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,208","--","--","-8","--","아니오","00:45:04","1","--","--","--","--","--","--","00:00:00","00:45:04","--","--"
실내 자전거타기,2026-02-07 17:33:39,false,"실내 자전거타기","13.83","486","00:37:58","136","151","2.8","--","--","21.8","30.2","--","--","--","--","--","--","--","84","97","194","42.0","199","190","313","3167","--","--","--","--","--","--","15.0","아니오","00:37:58","1","19.0","32","22","40","--","--","00:37:43","00:37:58","--","--"
근력 훈련,2026-02-06 18:14:18,false,"근력 훈련","0.00","80","00:25:59","78","116","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","26","13","1","-2","--","아니오","00:25:59","1","--","--","--","--","--","--","00:25:59","00:25:59","--","--"
트레드밀 러닝,2026-02-06 11:50:13,false,"트레드밀 러닝","7.55","411","00:38:56","136","156","2.5","180","192","5:10","4:18","--","--","1.08","7.8","8.4","243","--","--","--","305","0.0","--","303","385","--","--","--","6,978","--","--","-7","--","아니오","00:02:55.2","8","--","--","--","--","--","--","00:38:47","00:38:56","--","--"
근력 훈련,2026-02-05 18:26:51,false,"근력 훈련","0.00","158","00:31:18","99","129","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-3","--","아니오","00:31:18","1","--","--","--","--","--","--","00:31:18","00:31:18","--","--"
트레드밀 러닝,2026-02-05 11:49:29,false,"트레드밀 러닝","7.01","408","00:35:05","143","163","2.7","180","196","5:00","3:30","--","--","1.10","7.7","8.5","240","--","--","--","316","0.0","--","312","461","--","--","--","6,312","--","--","-7","--","아니오","00:00:03.6","8","--","--","--","--","--","--","00:35:03","00:35:05","--","--"
트레드밀 러닝,2026-02-04 18:38:26,false,"트레드밀 러닝","8.01","461","00:42:15","140","150","2.6","177","186","5:16","4:54","--","--","1.07","8.0","8.5","246","--","--","--","299","0.0","--","298","336","--","--","--","7,496","--","--","-1","--","아니오","00:00:02.5","9","--","--","--","--","--","--","00:42:04","00:43:22","--","--"
근력 훈련,2026-02-03 11:48:07,false,"근력 훈련","0.00","152","00:38:32","89","120","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","24","12","1","-5","--","아니오","00:38:32","1","--","--","--","--","--","--","00:38:32","00:38:32","--","--"
스텝퍼,2026-02-02 18:34:03,false,"스텝퍼","0.00","214","00:22:41","127","168","2.0","102","128","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","2,408","--","--","-3","--","아니오","00:22:41","1","--","--","--","--","--","--","00:00:00","00:22:42","--","--"
트레드밀 러닝,2026-02-02 17:36:29,false,"트레드밀 러닝","10.01","470","00:55:14","127","140","2.0","172","182","5:31","5:00","--","--","1.05","8.4","8.9","257","--","--","--","290","0.0","--","289","329","--","--","--","9,514","--","--","-7","--","아니오","00:00:03.0","11","--","--","--","--","--","--","00:55:12","00:55:14","--","--"
근력 훈련,2026-02-02 11:47:19,false,"근력 훈련","0.00","238","00:50:23","98","144","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-3","--","아니오","00:50:23","1","--","--","--","--","--","--","00:50:23","00:50:23","--","--"
실내 자전거타기,2026-02-01 09:33:50,false,"실내 자전거타기","15.27","485","00:45:12","126","137","2.3","--","--","20.3","30.7","--","--","--","--","--","--","--","79","116","159","34.0","164","156","391","3535","--","--","--","--","--","--","16.0","아니오","00:45:12","1","18.0","30","20","36","--","--","00:44:25","00:45:12","--","--"
러닝,2026-01-31 06:06:07,false,"러닝","29.34","2,154","02:42:45","160","194","5.0","186","200","5:33","4:40","640","636","0.96","7.9","7.6","242","5:20","--","--","330","0.0","--","306","550","--","--","--","30,306","--","--","-39","--","아니오","00:01:54.8","30","--","--","--","--","--","--","02:42:36","02:51:28","25","73"
근력 훈련,2026-01-30 19:10:50,false,"근력 훈련","0.00","576","01:05:52","129","183","3.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","6","3","1","-5","--","아니오","01:05:52","1","--","--","--","--","--","--","01:05:52","01:05:52","--","--"
스텝퍼,2026-01-30 12:01:12,false,"스텝퍼","0.00","301","00:38:04","121","166","2.1","89","212","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,630","--","--","-3","--","아니오","00:38:04","1","--","--","--","--","--","--","00:00:00","00:38:04","--","--"
트레드밀 러닝,2026-01-29 11:50:19,false,"트레드밀 러닝","7.01","481","00:34:45","160","183","3.7","181","198","4:58","3:39","--","--","1.11","7.7","8.5","238","--","--","--","321","0.0","--","316","435","--","--","--","6,290","--","--","-10","--","아니오","00:00:02.6","8","--","--","--","--","--","--","00:34:35","00:34:45","--","--"
트레드밀 러닝,2026-01-28 19:26:19,false,"트레드밀 러닝","8.01","436","00:41:15","133","157","2.4","178","210","5:09","3:36","--","--","1.08","7.9","8.5","244","--","--","--","307","0.0","--","304","439","--","--","--","7,362","--","--","-4","--","아니오","00:00:04.0","9","--","--","--","--","--","--","00:41:08","00:42:20","--","--"
트레드밀 러닝,2026-01-28 11:49:11,false,"트레드밀 러닝","6.52","403","00:34:01","140","159","2.9","179","189","5:13","4:47","--","--","1.07","7.9","8.5","245","--","--","--","302","0.0","--","301","339","--","--","--","6,066","--","--","-5","--","아니오","00:02:35.7","7","--","--","--","--","--","--","00:33:57","00:40:17","--","--"
트레드밀 러닝,2026-01-27 11:47:41,false,"트레드밀 러닝","8.01","496","00:41:35","142","174","3.1","177","214","5:11","3:47","--","--","1.09","7.9","8.6","245","--","--","--","305","0.0","--","302","413","--","--","--","7,370","--","--","-6","--","아니오","00:00:06.6","9","--","--","--","--","--","--","00:41:20","00:44:51","--","--"
실내 자전거타기,2026-01-27 06:14:49,false,"실내 자전거타기","8.14","276","00:22:19","130","142","2.3","--","--","21.9","29.3","--","--","--","--","--","--","--","80","92","190","24.3","183","183","747","1795","--","--","--","--","--","--","16.0","아니오","00:22:19","1","20.0","31","20","36","--","--","00:22:16","00:22:19","--","--"
트레드밀 러닝,2026-01-26 18:16:53,false,"트레드밀 러닝","8.01","404","00:44:41","127","145","2.1","175","190","5:35","4:50","--","--","1.03","8.3","8.6","253","--","--","--","285","0.0","--","284","344","--","--","--","7,782","--","--","-5","--","아니오","00:00:03.3","9","--","--","--","--","--","--","00:44:17","00:51:17","--","--"
근력 훈련,2026-01-26 12:00:11,false,"근력 훈련","0.00","211","00:40:33","100","151","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","86","43","1","-1","--","아니오","00:40:33","1","--","--","--","--","--","--","00:40:33","00:41:09","--","--"
러닝,2026-01-25 06:46:00,false,"러닝","26.02","1,851","02:24:15","151","172","4.9","187","198","5:33","4:52","186","186","0.96","7.9","7.6","242","5:32","--","--","303","0.0","--","297","471","--","--","--","26,938","--","--","-20","--","아니오","00:00:06.5","27","--","--","--","--","--","--","02:24:07","02:27:55","25","54"
러닝,2026-01-23 18:55:33,false,"러닝","14.01","959","01:22:20","135","158","3.4","181","190","5:53","4:52","93","116","0.93","8.4","7.8","251","5:52","--","--","282","0.0","--","277","385","--","--","--","14,846","--","--","-12","--","아니오","00:00:02.9","15","--","--","--","--","--","--","01:22:15","01:25:38","1","55"
근력 훈련,2026-01-23 13:09:21,false,"근력 훈련","0.00","160","00:19:25","116","153","1.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-2","--","아니오","00:19:25","1","--","--","--","--","--","--","00:19:25","00:19:25","--","--"
트레드밀 러닝,2026-01-22 18:09:26,false,"트레드밀 러닝","8.01","475","00:41:12","139","164","3.1","177","220","5:09","4:11","--","--","1.09","7.9","8.6","245","--","--","--","306","0.0","--","304","389","--","--","--","7,284","--","--","-7","--","아니오","00:00:03.2","9","--","--","--","--","--","--","00:41:05","00:41:31","--","--"
근력 훈련,2026-01-22 12:40:47,false,"근력 훈련","0.00","220","00:43:08","97","134","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-5","--","아니오","00:43:08","1","--","--","--","--","--","--","00:43:08","00:43:08","--","--"
트레드밀 러닝,2026-01-21 12:46:25,false,"트레드밀 러닝","5.02","313","00:24:59","145","163","2.9","181","233","4:59","4:05","--","--","1.10","7.6","8.4","238","--","--","--","312","0.0","--","310","407","--","--","--","4,520","--","--","-4","--","아니오","00:00:05.2","6","--","--","--","--","--","--","00:24:57","00:24:59","--","--"
근력 훈련,2026-01-21 12:32:38,false,"근력 훈련","0.00","91","00:12:28","110","129","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","10","5","1","--","--","아니오","00:12:28","1","--","--","--","--","--","--","00:12:28","00:12:28","--","--"
트레드밀 러닝,2026-01-20 12:34:33,false,"트레드밀 러닝","8.01","478","00:40:20","142","164","3.1","180","214","5:02","3:38","--","--","1.10","7.7","8.5","239","--","--","--","313","0.0","--","310","448","--","--","--","7,278","--","--","-9","--","아니오","00:00:03.0","9","--","--","--","--","--","--","00:40:01","00:40:41","--","--"
실내 자전거타기,2026-01-20 05:43:58,false,"실내 자전거타기","13.06","451","00:37:43","117","145","2.5","--","--","20.8","27.8","--","--","--","--","--","--","--","82","94","180","38.6","181","176","317","3101","--","--","--","--","--","--","13.0","아니오","00:37:43","1","16.0","29","15","38","--","--","00:37:39","00:37:43","--","--"
트레드밀 러닝,2026-01-19 18:04:06,false,"트레드밀 러닝","7.01","390","00:36:07","135","152","2.7","179","190","5:09","4:49","--","--","1.08","7.8","8.5","243","--","--","--","305","0.0","--","303","331","--","--","--","6,456","--","--","-6","--","아니오","00:00:03.1","8","--","--","--","--","--","--","00:35:53","00:39:25","--","--"
근력 훈련,2026-01-19 12:45:41,false,"근력 훈련","0.00","237","00:40:35","105","141","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","22","11","1","-3","--","아니오","00:40:35","1","--","--","--","--","--","--","00:40:35","00:40:35","--","--"
실내 자전거타기,2026-01-18 10:09:02,false,"실내 자전거타기","14.80","461","00:42:02","124","148","2.5","--","--","21.1","32.2","--","--","--","--","--","--","--","80","122","164","34.5","168","160","419","3344","--","--","--","--","--","--","16.0","아니오","00:42:02","1","17.0","30","14","38","--","--","00:41:51","00:42:02","--","--"
러닝,2026-01-17 06:05:57,false,"러닝","22.04","1,593","02:04:39","155","186","5.0","185","196","5:39","4:18","486","476","0.95","8.1","7.6","245","5:27","--","--","330","0.0","--","304","534","--","--","--","23,010","--","--","-32","--","아니오","00:00:11.6","23","--","--","--","--","--","--","02:04:23","02:11:23","25","64"
트레드밀 러닝,2026-01-16 12:34:01,false,"트레드밀 러닝","6.02","347","00:31:55","135","156","2.4","178","192","5:18","4:44","--","--","1.06","8.0","8.5","246","--","--","--","298","0.0","--","296","332","--","--","--","5,678","--","--","-3","--","아니오","00:00:05.0","7","--","--","--","--","--","--","00:31:40","00:32:28","--","--"
트레드밀 러닝,2026-01-15 12:35:04,false,"트레드밀 러닝","7.01","412","00:35:20","142","172","3.1","181","196","5:02","3:44","--","--","1.09","7.7","8.4","239","--","--","--","315","0.0","--","310","441","--","--","--","6,368","--","--","-8","--","아니오","00:00:03.2","8","--","--","--","--","--","--","00:35:03","00:36:43","--","--"
근력 훈련,2026-01-14 18:28:35,false,"근력 훈련","0.00","148","00:20:03","111","145","1.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-2","--","아니오","00:20:03","1","--","--","--","--","--","--","00:20:03","00:20:03","--","--"
트레드밀 러닝,2026-01-14 18:05:34,false,"트레드밀 러닝","4.01","209","00:22:27","123","135","1.6","173","182","5:36","5:05","--","--","1.03","8.4","8.6","255","--","--","--","284","0.0","--","281","313","--","--","--","3,882","--","--","-2","--","아니오","00:00:03.5","5","--","--","--","--","--","--","00:22:25","00:22:27","--","--"
트레드밀 러닝,2026-01-14 12:33:45,false,"트레드밀 러닝","6.02","364","00:28:57","150","173","3.0","184","202","4:49","3:21","--","--","1.13","7.4","8.3","232","--","--","--","329","0.0","--","322","459","--","--","--","5,314","--","--","-6","--","아니오","00:00:04.0","7","--","--","--","--","--","--","00:28:43","00:28:57","--","--"
트레드밀 러닝,2026-01-13 18:05:47,false,"트레드밀 러닝","8.02","463","00:42:01","139","159","3.0","178","192","5:14","4:45","--","--","1.08","7.9","8.5","245","--","--","--","301","0.0","--","298","347","--","--","--","7,478","--","--","-8","--","아니오","00:01:12.3","9","--","--","--","--","--","--","00:41:39","00:44:33","--","--"
근력 훈련,2026-01-13 12:46:50,false,"근력 훈련","0.00","212","00:37:13","100","135","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","100","50","1","-5","--","아니오","00:37:13","1","--","--","--","--","--","--","00:37:13","00:37:13","--","--"
스텝퍼,2026-01-13 06:23:41,false,"스텝퍼","0.00","110","00:26:26","88","97","0.2","136","152","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","3,648","--","--","-4","--","아니오","00:26:26","1","--","--","--","--","--","--","00:00:00","00:26:26","--","--"
트레드밀 러닝,2026-01-12 18:11:04,false,"트레드밀 러닝","7.01","361","00:38:23","131","162","2.2","173","184","5:28","5:05","--","--","1.05","8.3","8.8","254","--","--","--","291","0.0","--","289","333","--","--","--","6,642","--","--","-6","--","아니오","00:00:03.6","8","--","--","--","--","--","--","00:38:18","00:38:48","--","--"
근력 훈련,2026-01-12 12:44:32,false,"근력 훈련","0.00","247","00:40:27","108","151","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-4","--","아니오","00:40:27","1","--","--","--","--","--","--","00:40:27","00:40:27","--","--"
실내 자전거타기,2026-01-12 06:14:48,false,"실내 자전거타기","5.95","171","00:16:07","106","135","1.8","--","--","22.2","26.6","--","--","--","--","--","--","--","80","89","158","12.2","--","154","219","1280","--","--","--","--","--","--","21.0","아니오","00:16:07","1","22.0","31","13","36","--","--","00:15:56","00:16:07","--","--"
러닝,2026-01-11 07:10:01,false,"러닝","20.01","1,344","01:55:50","142","163","4.1","184","214","5:47","3:26","176","133","0.93","8.1","7.5","245","5:44","--","--","295","0.0","--","288","474","--","--","--","21,362","--","--","-21","--","아니오","00:00:02.9","21","--","--","--","--","--","--","01:55:18","02:09:49","9","59"
실내 자전거타기,2026-01-10 06:19:43,false,"실내 자전거타기","21.41","668","01:05:05","124","155","2.7","--","--","19.7","29.9","--","--","--","--","--","--","--","77","110","155","47.2","153","148","367","4955","--","--","--","--","--","--","20.0","아니오","01:05:05","1","23.0","29","15","38","--","--","01:04:16","01:05:28","--","--"
트레드밀 러닝,2026-01-09 18:28:23,false,"트레드밀 러닝","8.01","443","00:42:03","135","160","2.7","179","192","5:15","4:16","--","--","1.06","7.9","8.4","245","--","--","--","301","0.0","--","298","387","--","--","--","7,520","--","--","-8","--","아니오","00:00:03.5","9","--","--","--","--","--","--","00:42:01","00:42:03","--","--"
근력 훈련,2026-01-09 12:47:58,false,"근력 훈련","0.00","252","00:38:49","109","152","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","88","44","1","-5","--","아니오","00:38:49","1","--","--","--","--","--","--","00:38:49","00:38:49","--","--"
실내 자전거타기,2026-01-09 05:52:28,false,"실내 자전거타기","13.23","365","00:35:33","114","131","2.2","--","--","22.3","32.3","--","--","--","--","--","--","--","81","92","150","23.9","151","148","286","2882","--","--","--","--","--","--","21.0","아니오","00:35:33","1","26.0","27","16","32","--","--","00:35:33","00:35:33","--","--"
트레드밀 러닝,2026-01-08 18:06:05,false,"트레드밀 러닝","11.01","614","00:58:33","139","152","3.1","177","187","5:19","4:54","--","--","1.06","8.1","8.6","248","--","--","--","297","0.0","--","295","335","--","--","--","10,330","--","--","-10","--","아니오","00:00:03.5","12","--","--","--","--","--","--","00:58:29","00:58:33","--","--"
근력 훈련,2026-01-07 12:46:01,false,"근력 훈련","0.00","279","00:40:03","113","152","1.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","36","18","1","-5","--","아니오","00:40:03","1","--","--","--","--","--","--","00:40:03","00:40:03","--","--"
트레드밀 러닝,2026-01-06 18:09:32,false,"트레드밀 러닝","7.01","460","00:36:09","150","165","3.3","179","195","5:10","4:20","--","--","1.08","7.9","8.5","243","--","--","--","306","0.0","--","303","372","--","--","--","6,466","--","--","-7","--","아니오","00:00:02.4","8","--","--","--","--","--","--","00:35:58","00:36:09","--","--"
근력 훈련,2026-01-06 12:46:30,false,"근력 훈련","0.00","243","00:39:01","107","141","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","100","50","1","-4","--","아니오","00:39:01","1","--","--","--","--","--","--","00:39:01","00:39:01","--","--"
트레드밀 러닝,2026-01-05 18:07:16,false,"트레드밀 러닝","7.01","417","00:36:43","144","161","3.1","179","188","5:14","4:52","--","--","1.07","7.9","8.4","244","--","--","--","300","0.0","--","298","337","--","--","--","6,552","--","--","-7","--","아니오","00:00:03.0","8","--","--","--","--","--","--","00:36:26","00:38:06","--","--"
근력 훈련,2026-01-05 12:46:33,false,"근력 훈련","0.00","176","00:36:09","95","139","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","22","11","1","-3","--","아니오","00:36:09","1","--","--","--","--","--","--","00:36:09","00:36:09","--","--"
러닝,2026-01-04 07:09:37,false,"러닝","20.01","1,367","01:36:43","164","181","5.0","191","215","4:50","3:37","30","35","1.08","7.2","7.7","227","4:50","--","--","332","0.0","--","329","526","--","--","--","18,480","--","--","-20","--","아니오","00:00:02.3","21","--","--","--","--","--","--","01:36:36","01:37:03","48","63"
실내 자전거타기,2026-01-03 07:45:30,false,"실내 자전거타기","21.64","639","01:01:54","119","140","2.6","--","--","21.0","36.0","--","--","--","--","--","--","--","82","122","153","43.7","156","149","402","5108","--","--","--","--","--","--","19.0","아니오","01:01:54","1","22.0","28","21","38","--","--","01:01:54","01:01:54","--","--"
러닝,2026-01-02 08:46:17,false,"러닝","7.66","517","00:39:53","149","168","3.5","187","200","5:12","3:44","103","56","1.02","7.5","7.6","234","5:07","--","--","330","0.0","--","319","510","--","--","--","7,500","--","--","-9","--","아니오","00:03:28.2","8","--","--","--","--","--","--","00:39:39","00:48:32","11","62"
실내 자전거타기,2026-01-01 09:18:06,false,"실내 자전거타기","15.53","448","00:38:39","132","155","2.8","--","--","24.1","37.2","--","--","--","--","--","--","--","88","134","175","35.2","167","170","394","3413","--","--","--","--","--","--","20.0","아니오","00:38:39","1","23.0","31","19","43","--","--","00:38:39","00:41:31","--","--"
근력 훈련,2025-12-31 12:30:25,false,"근력 훈련","0.00","249","00:41:14","104","136","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","32","16","1","-2","--","아니오","00:41:14","1","--","--","--","--","--","--","00:41:14","00:41:14","--","--"
트레드밀 러닝,2025-12-30 12:19:15,false,"트레드밀 러닝","7.01","461","00:37:45","142","163","3.3","177","191","5:23","4:46","--","--","1.05","8.1","8.6","249","--","--","--","294","0.0","--","292","337","--","--","--","6,660","--","--","-8","--","아니오","00:00:03.1","8","--","--","--","--","--","--","00:37:29","00:38:03","--","--"
근력 훈련,2025-12-29 18:14:38,false,"근력 훈련","0.00","239","00:46:38","99","130","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-1","--","아니오","00:46:38","1","--","--","--","--","--","--","00:46:38","00:46:38","--","--"
